Dim_isEndgame,Dim_Realms,Dim_GrandCompany,Dim_Species,V_PlayerCount
True,Behemoth,Immortal Flames,Hyur,18
True,Behemoth,Immortal Flames,Lalafell,16
True,Behemoth,Immortal Flames,Miqo'te,31
True,Behemoth,Immortal Flames,Roegadyn,4
True,Behemoth,Immortal Flames,Viera,17
True,Behemoth,Maelstrom,Au Ra,22
True,Behemoth,Maelstrom,Elezen,5
True,Behemoth,Maelstrom,Hrothgar,3
True,Behemoth,Maelstrom,Hyur,19
True,Behemoth,Maelstrom,Lalafell,16
True,Behemoth,Maelstrom,Miqo'te,32
True,Behemoth,Maelstrom,Roegadyn,4
True,Behemoth,Maelstrom,Viera,17
True,Behemoth,Order of the Twin Adder,Au Ra,26
True,Behemoth,Order of the Twin Adder,Elezen,6
True,Behemoth,Order of the Twin Adder,Hrothgar,3
True,Behemoth,Order of the Twin Adder,Hyur,22
True,Behemoth,Order of the Twin Adder,Lalafell,19
True,Behemoth,Order of the Twin Adder,Miqo'te,38
True,Behemoth,Order of the Twin Adder,Roegadyn,5
True,Behemoth,Order of the Twin Adder,Viera,20
True,Behemoth,none,Au Ra,161
True,Behemoth,none,Elezen,39
True,Behemoth,none,Hrothgar,20
True,Behemoth,none,Hyur,136
True,Behemoth,none,Lalafell,119
True,Behemoth,none,Miqo'te,233
True,Behemoth,none,Roegadyn,28
True,Behemoth,none,Viera,123
True,Brynhildr,Immortal Flames,Au Ra,22
True,Brynhildr,Immortal Flames,Elezen,5
True,Brynhildr,Immortal Flames,Hrothgar,3
True,Brynhildr,Immortal Flames,Hyur,18
True,Brynhildr,Immortal Flames,Lalafell,16
True,Brynhildr,Immortal Flames,Miqo'te,31
True,Brynhildr,Immortal Flames,Roegadyn,4
True,Brynhildr,Immortal Flames,Viera,17
True,Brynhildr,Maelstrom,Au Ra,22
True,Brynhildr,Maelstrom,Elezen,5
True,Brynhildr,Maelstrom,Hrothgar,3
True,Brynhildr,Maelstrom,Hyur,19
True,Brynhildr,Maelstrom,Lalafell,16
True,Brynhildr,Maelstrom,Miqo'te,32
True,Brynhildr,Maelstrom,Roegadyn,4
True,Brynhildr,Maelstrom,Viera,17
True,Brynhildr,Order of the Twin Adder,Au Ra,26
True,Brynhildr,Order of the Twin Adder,Elezen,6
True,Brynhildr,Order of the Twin Adder,Hrothgar,3
True,Brynhildr,Order of the Twin Adder,Hyur,22
True,Brynhildr,Order of the Twin Adder,Lalafell,19
True,Brynhildr,Order of the Twin Adder,Miqo'te,38
True,Brynhildr,Order of the Twin Adder,Roegadyn,5
True,Brynhildr,Order of the Twin Adder,Viera,20
True,Brynhildr,none,Au Ra,161
True,Brynhildr,none,Elezen,39
True,Brynhildr,none,Hrothgar,20
True,Brynhildr,none,Hyur,137
True,Brynhildr,none,Lalafell,119
True,Brynhildr,none,Miqo'te,233
True,Brynhildr,none,Roegadyn,28
True,Brynhildr,none,Viera,124
True,Cactuar,Immortal Flames,Au Ra,22
True,Cactuar,Immortal Flames,Elezen,5
True,Cactuar,Immortal Flames,Hrothgar,3
True,Cactuar,Immortal Flames,Hyur,19
True,Cactuar,Immortal Flames,Lalafell,17
True,Cactuar,Immortal Flames,Miqo'te,33
True,Cactuar,Immortal Flames,Roegadyn,4
True,Cactuar,Immortal Flames,Viera,17
True,Cactuar,Maelstrom,Au Ra,23
True,Cactuar,Maelstrom,Elezen,6
True,Cactuar,Maelstrom,Hrothgar,3
True,Cactuar,Maelstrom,Hyur,20
True,Cactuar,Maelstrom,Lalafell,17
True,Cactuar,Maelstrom,Miqo'te,33
True,Cactuar,Maelstrom,Roegadyn,4
True,Cactuar,Maelstrom,Viera,18
True,Cactuar,Order of the Twin Adder,Au Ra,27
True,Cactuar,Order of the Twin Adder,Elezen,7
True,Cactuar,Order of the Twin Adder,Hrothgar,3
True,Cactuar,Order of the Twin Adder,Hyur,23
True,Cactuar,Order of the Twin Adder,Lalafell,20
True,Cactuar,Order of the Twin Adder,Miqo'te,39
True,Cactuar,Order of the Twin Adder,Roegadyn,5
True,Cactuar,Order of the Twin Adder,Viera,21
True,Cactuar,none,Au Ra,167
True,Cactuar,none,Elezen,40
True,Cactuar,none,Hrothgar,20
True,Cactuar,none,Hyur,142
True,Cactuar,none,Lalafell,123
True,Cactuar,none,Miqo'te,242
True,Cactuar,none,Roegadyn,29
True,Cactuar,none,Viera,128
True,Coeurl,Immortal Flames,Au Ra,20
True,Coeurl,Immortal Flames,Elezen,5
True,Coeurl,Immortal Flames,Hrothgar,2
True,Coeurl,Immortal Flames,Hyur,17
True,Coeurl,Immortal Flames,Lalafell,15
True,Coeurl,Immortal Flames,Miqo'te,30
True,Coeurl,Immortal Flames,Roegadyn,4
True,Coeurl,Immortal Flames,Viera,16
True,Coeurl,Maelstrom,Au Ra,21
True,Coeurl,Maelstrom,Elezen,5
True,Coeurl,Maelstrom,Hrothgar,3
True,Coeurl,Maelstrom,Hyur,18
True,Coeurl,Maelstrom,Lalafell,15
True,Coeurl,Maelstrom,Miqo'te,30
True,Coeurl,Maelstrom,Roegadyn,4
True,Coeurl,Maelstrom,Viera,16
True,Coeurl,Order of the Twin Adder,Au Ra,25
True,Coeurl,Order of the Twin Adder,Elezen,6
True,Coeurl,Order of the Twin Adder,Hrothgar,3
True,Coeurl,Order of the Twin Adder,Hyur,21
True,Coeurl,Order of the Twin Adder,Lalafell,18
True,Coeurl,Order of the Twin Adder,Miqo'te,36
True,Coeurl,Order of the Twin Adder,Roegadyn,4
True,Coeurl,Order of the Twin Adder,Viera,19
True,Coeurl,none,Au Ra,152
True,Coeurl,none,Elezen,36
True,Coeurl,none,Hrothgar,18
True,Coeurl,none,Hyur,129
True,Coeurl,none,Lalafell,112
True,Coeurl,none,Miqo'te,220
True,Coeurl,none,Roegadyn,27
True,Coeurl,none,Viera,117
True,Diabolos,Immortal Flames,Au Ra,21
True,Diabolos,Immortal Flames,Elezen,5
True,Diabolos,Immortal Flames,Hrothgar,3
True,Diabolos,Immortal Flames,Hyur,18
True,Diabolos,Immortal Flames,Lalafell,16
True,Diabolos,Immortal Flames,Miqo'te,31
True,Diabolos,Immortal Flames,Roegadyn,4
True,Diabolos,Immortal Flames,Viera,16
True,Diabolos,Maelstrom,Au Ra,22
True,Diabolos,Maelstrom,Elezen,5
True,Diabolos,Maelstrom,Hrothgar,3
True,Diabolos,Maelstrom,Hyur,18
True,Diabolos,Maelstrom,Lalafell,16
True,Diabolos,Maelstrom,Miqo'te,32
True,Diabolos,Maelstrom,Roegadyn,4
True,Diabolos,Maelstrom,Viera,17
True,Diabolos,Order of the Twin Adder,Au Ra,26
True,Diabolos,Order of the Twin Adder,Elezen,6
True,Diabolos,Order of the Twin Adder,Hrothgar,3
True,Diabolos,Order of the Twin Adder,Hyur,22
True,Diabolos,Order of the Twin Adder,Lalafell,19
True,Diabolos,Order of the Twin Adder,Miqo'te,37
True,Diabolos,Order of the Twin Adder,Roegadyn,4
True,Diabolos,Order of the Twin Adder,Viera,20
True,Diabolos,none,Au Ra,157
True,Diabolos,none,Elezen,38
True,Diabolos,none,Hrothgar,19
True,Diabolos,none,Hyur,134
True,Diabolos,none,Lalafell,116
True,Diabolos,none,Miqo'te,228
True,Diabolos,none,Roegadyn,28
True,Diabolos,none,Viera,121
True,Excalibur,Immortal Flames,Au Ra,21
True,Excalibur,Immortal Flames,Elezen,5
True,Excalibur,Immortal Flames,Hrothgar,3
True,Excalibur,Immortal Flames,Hyur,18
True,Excalibur,Immortal Flames,Lalafell,16
True,Excalibur,Immortal Flames,Miqo'te,31
True,Excalibur,Immortal Flames,Roegadyn,4
True,Excalibur,Immortal Flames,Viera,16
True,Excalibur,Maelstrom,Au Ra,22
True,Excalibur,Maelstrom,Elezen,5
True,Excalibur,Maelstrom,Hrothgar,3
True,Excalibur,Maelstrom,Hyur,19
True,Excalibur,Maelstrom,Lalafell,16
True,Excalibur,Maelstrom,Miqo'te,32
True,Excalibur,Maelstrom,Roegadyn,4
True,Excalibur,Maelstrom,Viera,17
True,Excalibur,Order of the Twin Adder,Au Ra,26
True,Excalibur,Order of the Twin Adder,Elezen,6
True,Excalibur,Order of the Twin Adder,Hrothgar,3
True,Excalibur,Order of the Twin Adder,Hyur,22
True,Excalibur,Order of the Twin Adder,Lalafell,19
True,Excalibur,Order of the Twin Adder,Miqo'te,38
True,Excalibur,Order of the Twin Adder,Roegadyn,5
True,Excalibur,Order of the Twin Adder,Viera,20
True,Excalibur,none,Au Ra,159
True,Excalibur,none,Elezen,38
True,Excalibur,none,Hrothgar,19
True,Excalibur,none,Hyur,136
True,Excalibur,none,Lalafell,118
True,Excalibur,none,Miqo'te,231
True,Excalibur,none,Roegadyn,28
True,Excalibur,none,Viera,123
True,Exodus,Immortal Flames,Au Ra,21
True,Exodus,Immortal Flames,Elezen,5
True,Exodus,Immortal Flames,Hrothgar,3
True,Exodus,Immortal Flames,Hyur,18
True,Exodus,Immortal Flames,Lalafell,16
True,Exodus,Immortal Flames,Miqo'te,31
True,Exodus,Immortal Flames,Roegadyn,4
True,Exodus,Immortal Flames,Viera,16
True,Exodus,Maelstrom,Au Ra,22
True,Exodus,Maelstrom,Elezen,5
True,Exodus,Maelstrom,Hrothgar,3
True,Exodus,Maelstrom,Hyur,19
True,Exodus,Maelstrom,Lalafell,16
True,Exodus,Maelstrom,Miqo'te,32
True,Exodus,Maelstrom,Roegadyn,4
True,Exodus,Maelstrom,Viera,17
True,Exodus,Order of the Twin Adder,Au Ra,26
True,Exodus,Order of the Twin Adder,Elezen,6
True,Exodus,Order of the Twin Adder,Hrothgar,3
True,Exodus,Order of the Twin Adder,Hyur,22
True,Exodus,Order of the Twin Adder,Lalafell,19
True,Exodus,Order of the Twin Adder,Miqo'te,37
True,Exodus,Order of the Twin Adder,Roegadyn,5
True,Exodus,Order of the Twin Adder,Viera,20
True,Exodus,none,Au Ra,158
True,Exodus,none,Elezen,38
True,Exodus,none,Hrothgar,19
True,Exodus,none,Hyur,135
True,Exodus,none,Lalafell,117
True,Exodus,none,Miqo'te,230
True,Exodus,none,Roegadyn,28
True,Exodus,none,Viera,122
True,Faerie,Immortal Flames,Au Ra,22
True,Faerie,Immortal Flames,Elezen,5
True,Faerie,Immortal Flames,Hrothgar,3
True,Faerie,Immortal Flames,Hyur,19
True,Faerie,Immortal Flames,Lalafell,17
True,Faerie,Immortal Flames,Miqo'te,32
True,Faerie,Immortal Flames,Roegadyn,4
True,Faerie,Immortal Flames,Viera,17
True,Faerie,Maelstrom,Au Ra,23
True,Faerie,Maelstrom,Elezen,6
True,Faerie,Maelstrom,Hrothgar,3
True,Faerie,Maelstrom,Hyur,20
True,Faerie,Maelstrom,Lalafell,17
True,Faerie,Maelstrom,Miqo'te,33
True,Faerie,Maelstrom,Roegadyn,4
True,Faerie,Maelstrom,Viera,18
True,Faerie,Order of the Twin Adder,Au Ra,27
True,Faerie,Order of the Twin Adder,Elezen,7
True,Faerie,Order of the Twin Adder,Hrothgar,3
True,Faerie,Order of the Twin Adder,Hyur,23
True,Faerie,Order of the Twin Adder,Lalafell,20
True,Faerie,Order of the Twin Adder,Miqo'te,39
True,Faerie,Order of the Twin Adder,Roegadyn,5
True,Faerie,Order of the Twin Adder,Viera,21
True,Faerie,none,Au Ra,166
True,Faerie,none,Elezen,40
True,Faerie,none,Hrothgar,20
True,Faerie,none,Hyur,141
True,Faerie,none,Lalafell,123
True,Faerie,none,Miqo'te,241
True,Faerie,none,Roegadyn,29
True,Faerie,none,Viera,128
True,Famfrit,Immortal Flames,Au Ra,21
True,Famfrit,Immortal Flames,Elezen,5
True,Famfrit,Immortal Flames,Hrothgar,3
True,Famfrit,Immortal Flames,Hyur,18
True,Famfrit,Immortal Flames,Lalafell,16
True,Famfrit,Immortal Flames,Miqo'te,31
True,Famfrit,Immortal Flames,Roegadyn,4
True,Famfrit,Immortal Flames,Viera,16
True,Famfrit,Maelstrom,Au Ra,22
True,Famfrit,Maelstrom,Elezen,5
True,Famfrit,Maelstrom,Hrothgar,3
True,Famfrit,Maelstrom,Hyur,18
True,Famfrit,Maelstrom,Lalafell,16
True,Famfrit,Maelstrom,Miqo'te,32
True,Famfrit,Maelstrom,Roegadyn,4
True,Famfrit,Maelstrom,Viera,17
True,Famfrit,Order of the Twin Adder,Au Ra,26
True,Famfrit,Order of the Twin Adder,Elezen,6
True,Famfrit,Order of the Twin Adder,Hrothgar,3
True,Famfrit,Order of the Twin Adder,Hyur,22
True,Famfrit,Order of the Twin Adder,Lalafell,19
True,Famfrit,Order of the Twin Adder,Miqo'te,37
True,Famfrit,Order of the Twin Adder,Roegadyn,5
True,Famfrit,Order of the Twin Adder,Viera,20
True,Famfrit,none,Au Ra,158
True,Famfrit,none,Elezen,38
True,Famfrit,none,Hrothgar,19
True,Famfrit,none,Hyur,134
True,Famfrit,none,Lalafell,117
True,Famfrit,none,Miqo'te,229
True,Famfrit,none,Roegadyn,28
True,Famfrit,none,Viera,121
True,Gilgamesh,Immortal Flames,Au Ra,24
True,Gilgamesh,Immortal Flames,Elezen,6
True,Gilgamesh,Immortal Flames,Hrothgar,3
True,Gilgamesh,Immortal Flames,Hyur,21
True,Gilgamesh,Immortal Flames,Lalafell,18
True,Gilgamesh,Immortal Flames,Miqo'te,35
True,Gilgamesh,Immortal Flames,Roegadyn,4
True,Gilgamesh,Immortal Flames,Viera,19
True,Gilgamesh,Maelstrom,Au Ra,25
True,Gilgamesh,Maelstrom,Elezen,6
True,Gilgamesh,Maelstrom,Hrothgar,3
True,Gilgamesh,Maelstrom,Hyur,21
True,Gilgamesh,Maelstrom,Lalafell,19
True,Gilgamesh,Maelstrom,Miqo'te,36
True,Gilgamesh,Maelstrom,Roegadyn,4
True,Gilgamesh,Maelstrom,Viera,19
True,Gilgamesh,Order of the Twin Adder,Au Ra,30
True,Gilgamesh,Order of the Twin Adder,Elezen,7
True,Gilgamesh,Order of the Twin Adder,Hrothgar,4
True,Gilgamesh,Order of the Twin Adder,Hyur,25
True,Gilgamesh,Order of the Twin Adder,Lalafell,22
True,Gilgamesh,Order of the Twin Adder,Miqo'te,43
True,Gilgamesh,Order of the Twin Adder,Roegadyn,5
True,Gilgamesh,Order of the Twin Adder,Viera,23
True,Gilgamesh,none,Au Ra,181
True,Gilgamesh,none,Elezen,44
True,Gilgamesh,none,Hrothgar,22
True,Gilgamesh,none,Hyur,154
True,Gilgamesh,none,Lalafell,134
True,Gilgamesh,none,Miqo'te,263
True,Gilgamesh,none,Roegadyn,32
True,Gilgamesh,none,Viera,139
True,Goblin,Immortal Flames,Au Ra,21
True,Goblin,Immortal Flames,Elezen,5
True,Goblin,Immortal Flames,Hrothgar,3
True,Goblin,Immortal Flames,Hyur,18
True,Goblin,Immortal Flames,Lalafell,15
True,Goblin,Immortal Flames,Miqo'te,30
True,Goblin,Immortal Flames,Roegadyn,4
True,Goblin,Immortal Flames,Viera,16
True,Goblin,Maelstrom,Au Ra,21
True,Goblin,Maelstrom,Elezen,5
True,Goblin,Maelstrom,Hrothgar,3
True,Goblin,Maelstrom,Hyur,18
True,Goblin,Maelstrom,Lalafell,16
True,Goblin,Maelstrom,Miqo'te,31
True,Goblin,Maelstrom,Roegadyn,4
True,Goblin,Maelstrom,Viera,16
True,Goblin,Order of the Twin Adder,Au Ra,25
True,Goblin,Order of the Twin Adder,Elezen,6
True,Goblin,Order of the Twin Adder,Hrothgar,3
True,Goblin,Order of the Twin Adder,Hyur,21
True,Goblin,Order of the Twin Adder,Lalafell,19
True,Goblin,Order of the Twin Adder,Miqo'te,36
True,Goblin,Order of the Twin Adder,Roegadyn,4
True,Goblin,Order of the Twin Adder,Viera,19
True,Goblin,none,Au Ra,154
True,Goblin,none,Elezen,37
True,Goblin,none,Hrothgar,19
True,Goblin,none,Hyur,131
True,Goblin,none,Lalafell,114
True,Goblin,none,Miqo'te,224
True,Goblin,none,Roegadyn,27
True,Goblin,none,Viera,119
True,Halicarnassus,Immortal Flames,Au Ra,5
True,Halicarnassus,Immortal Flames,Elezen,1
True,Halicarnassus,Immortal Flames,Hrothgar,1
True,Halicarnassus,Immortal Flames,Hyur,5
True,Halicarnassus,Immortal Flames,Lalafell,4
True,Halicarnassus,Immortal Flames,Miqo'te,8
True,Halicarnassus,Immortal Flames,Roegadyn,1
True,Halicarnassus,Immortal Flames,Viera,4
True,Halicarnassus,Maelstrom,Au Ra,6
True,Halicarnassus,Maelstrom,Elezen,1
True,Halicarnassus,Maelstrom,Hrothgar,1
True,Halicarnassus,Maelstrom,Hyur,5
True,Halicarnassus,Maelstrom,Lalafell,4
True,Halicarnassus,Maelstrom,Miqo'te,8
True,Halicarnassus,Maelstrom,Roegadyn,1
True,Halicarnassus,Maelstrom,Viera,4
True,Halicarnassus,Order of the Twin Adder,Au Ra,7
True,Halicarnassus,Order of the Twin Adder,Elezen,2
True,Halicarnassus,Order of the Twin Adder,Hrothgar,1
True,Halicarnassus,Order of the Twin Adder,Hyur,6
True,Halicarnassus,Order of the Twin Adder,Lalafell,5
True,Halicarnassus,Order of the Twin Adder,Miqo'te,10
True,Halicarnassus,Order of the Twin Adder,Roegadyn,1
True,Halicarnassus,Order of the Twin Adder,Viera,5
True,Halicarnassus,none,Au Ra,41
True,Halicarnassus,none,Elezen,10
True,Halicarnassus,none,Hrothgar,5
True,Halicarnassus,none,Hyur,35
True,Halicarnassus,none,Lalafell,30
True,Halicarnassus,none,Miqo'te,59
True,Halicarnassus,none,Roegadyn,7
True,Halicarnassus,none,Viera,31
True,Hyperion,Immortal Flames,Au Ra,20
True,Hyperion,Immortal Flames,Elezen,5
True,Hyperion,Immortal Flames,Hrothgar,2
True,Hyperion,Immortal Flames,Hyur,17
True,Hyperion,Immortal Flames,Lalafell,15
True,Hyperion,Immortal Flames,Miqo'te,30
True,Hyperion,Immortal Flames,Roegadyn,4
True,Hyperion,Immortal Flames,Viera,16
True,Hyperion,Maelstrom,Au Ra,21
True,Hyperion,Maelstrom,Elezen,5
True,Hyperion,Maelstrom,Hrothgar,3
True,Hyperion,Maelstrom,Hyur,18
True,Hyperion,Maelstrom,Lalafell,16
True,Hyperion,Maelstrom,Miqo'te,30
True,Hyperion,Maelstrom,Roegadyn,4
True,Hyperion,Maelstrom,Viera,16
True,Hyperion,Order of the Twin Adder,Au Ra,25
True,Hyperion,Order of the Twin Adder,Elezen,6
True,Hyperion,Order of the Twin Adder,Hrothgar,3
True,Hyperion,Order of the Twin Adder,Hyur,21
True,Hyperion,Order of the Twin Adder,Lalafell,18
True,Hyperion,Order of the Twin Adder,Miqo'te,36
True,Hyperion,Order of the Twin Adder,Roegadyn,4
True,Hyperion,Order of the Twin Adder,Viera,19
True,Hyperion,none,Au Ra,152
True,Hyperion,none,Elezen,37
True,Hyperion,none,Hrothgar,19
True,Hyperion,none,Hyur,129
True,Hyperion,none,Lalafell,113
True,Hyperion,none,Miqo'te,221
True,Hyperion,none,Roegadyn,27
True,Hyperion,none,Viera,117
True,Jenova,Immortal Flames,Au Ra,23
True,Jenova,Immortal Flames,Elezen,5
True,Jenova,Immortal Flames,Hrothgar,3
True,Jenova,Immortal Flames,Hyur,19
True,Jenova,Immortal Flames,Lalafell,17
True,Jenova,Immortal Flames,Miqo'te,33
True,Jenova,Immortal Flames,Roegadyn,4
True,Jenova,Immortal Flames,Viera,17
True,Jenova,Maelstrom,Au Ra,23
True,Jenova,Maelstrom,Elezen,6
True,Jenova,Maelstrom,Hrothgar,3
True,Jenova,Maelstrom,Hyur,20
True,Jenova,Maelstrom,Lalafell,17
True,Jenova,Maelstrom,Miqo'te,34
True,Jenova,Maelstrom,Roegadyn,4
True,Jenova,Maelstrom,Viera,18
True,Jenova,Order of the Twin Adder,Au Ra,27
True,Jenova,Order of the Twin Adder,Elezen,7
True,Jenova,Order of the Twin Adder,Hrothgar,3
True,Jenova,Order of the Twin Adder,Hyur,23
True,Jenova,Order of the Twin Adder,Lalafell,20
True,Jenova,Order of the Twin Adder,Miqo'te,40
True,Jenova,Order of the Twin Adder,Roegadyn,5
True,Jenova,Order of the Twin Adder,Viera,21
True,Jenova,none,Au Ra,169
True,Jenova,none,Elezen,41
True,Jenova,none,Hrothgar,21
True,Jenova,none,Hyur,143
True,Jenova,none,Lalafell,125
True,Jenova,none,Miqo'te,245
True,Jenova,none,Roegadyn,30
True,Jenova,none,Viera,130
True,Lamia,Immortal Flames,Au Ra,21
True,Lamia,Immortal Flames,Elezen,5
True,Lamia,Immortal Flames,Hrothgar,3
True,Lamia,Immortal Flames,Hyur,18
True,Lamia,Immortal Flames,Lalafell,16
True,Lamia,Immortal Flames,Miqo'te,31
True,Lamia,Immortal Flames,Roegadyn,4
True,Lamia,Immortal Flames,Viera,16
True,Lamia,Maelstrom,Au Ra,22
True,Lamia,Maelstrom,Elezen,5
True,Lamia,Maelstrom,Hrothgar,3
True,Lamia,Maelstrom,Hyur,18
True,Lamia,Maelstrom,Lalafell,16
True,Lamia,Maelstrom,Miqo'te,31
True,Lamia,Maelstrom,Roegadyn,4
True,Lamia,Maelstrom,Viera,17
True,Lamia,Order of the Twin Adder,Au Ra,26
True,Lamia,Order of the Twin Adder,Elezen,6
True,Lamia,Order of the Twin Adder,Hrothgar,3
True,Lamia,Order of the Twin Adder,Hyur,22
True,Lamia,Order of the Twin Adder,Lalafell,19
True,Lamia,Order of the Twin Adder,Miqo'te,37
True,Lamia,Order of the Twin Adder,Roegadyn,4
True,Lamia,Order of the Twin Adder,Viera,20
True,Lamia,none,Au Ra,157
True,Lamia,none,Elezen,38
True,Lamia,none,Hrothgar,19
True,Lamia,none,Hyur,133
True,Lamia,none,Lalafell,116
True,Lamia,none,Miqo'te,227
True,Lamia,none,Roegadyn,27
True,Lamia,none,Viera,121
True,Leviathan,Immortal Flames,Au Ra,22
True,Leviathan,Immortal Flames,Elezen,5
True,Leviathan,Immortal Flames,Hrothgar,3
True,Leviathan,Immortal Flames,Hyur,18
True,Leviathan,Immortal Flames,Lalafell,16
True,Leviathan,Immortal Flames,Miqo'te,31
True,Leviathan,Immortal Flames,Roegadyn,4
True,Leviathan,Immortal Flames,Viera,17
True,Leviathan,Maelstrom,Au Ra,22
True,Leviathan,Maelstrom,Elezen,5
True,Leviathan,Maelstrom,Hrothgar,3
True,Leviathan,Maelstrom,Hyur,19
True,Leviathan,Maelstrom,Lalafell,16
True,Leviathan,Maelstrom,Miqo'te,32
True,Leviathan,Maelstrom,Roegadyn,4
True,Leviathan,Maelstrom,Viera,17
True,Leviathan,Order of the Twin Adder,Au Ra,26
True,Leviathan,Order of the Twin Adder,Elezen,6
True,Leviathan,Order of the Twin Adder,Hrothgar,3
True,Leviathan,Order of the Twin Adder,Hyur,22
True,Leviathan,Order of the Twin Adder,Lalafell,19
True,Leviathan,Order of the Twin Adder,Miqo'te,38
True,Leviathan,Order of the Twin Adder,Roegadyn,5
True,Leviathan,Order of the Twin Adder,Viera,20
True,Leviathan,none,Au Ra,161
True,Leviathan,none,Elezen,39
True,Leviathan,none,Hrothgar,20
True,Leviathan,none,Hyur,137
True,Leviathan,none,Lalafell,119
True,Leviathan,none,Miqo'te,234
True,Leviathan,none,Roegadyn,28
True,Leviathan,none,Viera,124
True,Maduin,Immortal Flames,Au Ra,4
True,Maduin,Immortal Flames,Elezen,1
True,Maduin,Immortal Flames,Hrothgar,0
True,Maduin,Immortal Flames,Hyur,3
True,Maduin,Immortal Flames,Lalafell,3
True,Maduin,Immortal Flames,Miqo'te,6
True,Maduin,Immortal Flames,Roegadyn,1
True,Maduin,Immortal Flames,Viera,3
True,Maduin,Maelstrom,Au Ra,4
True,Maduin,Maelstrom,Elezen,1
True,Maduin,Maelstrom,Hrothgar,1
True,Maduin,Maelstrom,Hyur,4
True,Maduin,Maelstrom,Lalafell,3
True,Maduin,Maelstrom,Miqo'te,6
True,Maduin,Maelstrom,Roegadyn,1
True,Maduin,Maelstrom,Viera,3
True,Maduin,Order of the Twin Adder,Au Ra,5
True,Maduin,Order of the Twin Adder,Elezen,1
True,Maduin,Order of the Twin Adder,Hrothgar,1
True,Maduin,Order of the Twin Adder,Hyur,4
True,Maduin,Order of the Twin Adder,Lalafell,4
True,Maduin,Order of the Twin Adder,Miqo'te,7
True,Maduin,Order of the Twin Adder,Roegadyn,1
True,Maduin,Order of the Twin Adder,Viera,4
True,Maduin,none,Au Ra,30
True,Maduin,none,Elezen,7
True,Maduin,none,Hrothgar,4
True,Maduin,none,Hyur,26
True,Maduin,none,Lalafell,22
True,Maduin,none,Miqo'te,44
True,Maduin,none,Roegadyn,5
True,Maduin,none,Viera,23
True,Malboro,Immortal Flames,Au Ra,21
